layers,solver,max_iter,train_accuracy,test_accuracy,training_time,evaluation_time,converged,timestamp,train_accuracy (%),test_accuracy (%),start_time,end_time
"(20,)",lbfgs,1000,0.8388190476190476,0.8324571428571429,1970-01-01 01.16.04,1970-01-01 01.00.02,Yes,2024-12-04 13.43.43,,,,
"(20,)",lbfgs,1000,,,00:19:12,00:00:00,No (Reached max_iter),,,,2024-12-04 14:57:42,2024-12-04 15:16:54
"(20,)",lbfgs,2000,,,00:32:12,00:00:00,No (Reached max_iter),,,,2024-12-04 15:30:17,2024-12-04 16:02:30
"(20,)",lbfgs,5000,,,01:19:03,00:00:00,No (Reached max_iter),,,,2024-12-04 16:02:30,2024-12-04 17:21:33
(),lbfgs,500,,,00:03:29,00:00:00,No (Reached max_iter),2024-12-04 20:06:13,,,2024-12-04 20:06:13,2024-12-04 20:09:43
(),lbfgs,2000,,,00:13:03,00:00:00,No (Reached max_iter),2024-12-04 20:09:43,,,2024-12-04 20:09:43,2024-12-04 20:22:46
(),lbfgs,5000,,,00:32:58,00:00:00,No (Reached max_iter),2024-12-04 20:22:46,,,2024-12-04 20:22:46,2024-12-04 20:55:45
"(5,)",lbfgs,500,11.3867,10.8514,00:00:22,00:00:25,Yes,2024-12-04 20:55:45,11.3867,10.8514,2024-12-04 20:55:45,2024-12-04 20:56:08
"(5,)",lbfgs,2000,11.3867,10.8514,00:00:12,00:00:11,Yes,2024-12-04 20:56:33,11.3867,10.8514,2024-12-04 20:56:33,2024-12-04 20:56:46
"(5,)",lbfgs,5000,11.3867,10.8514,00:00:17,00:00:11,Yes,2024-12-04 20:56:58,11.3867,10.8514,2024-12-04 20:56:58,2024-12-04 20:57:15
(),lbfgs,500,,,00:06:00,00:00:00,No (Reached max_iter),,93.0171,89.3371,2024-12-05 08:48:01,2024-12-05 08:54:02
(),lbfgs,2000,,,02:12:05,00:00:00,No (Reached max_iter),,94.4800,90.8686,2024-12-05 08:54:02,2024-12-05 11:06:08
