architecture,activation,solver,iterations,random_state,train_accuracy,test_accuracy,time,formatted_time,converged,timestamp
(),relu,lbfgs,1000,11,1.0,0.9842061512884456,107.88491797447205,1m 47.88s,Yes,2024-11-29 05:44:14
"(5,)",relu,lbfgs,1000,11,0.9944572748267898,0.9908561928512053,588.139319896698,9m 48.14s,Yes,2024-11-29 05:54:03
"(10,)",relu,lbfgs,1000,11,0.9985219399538107,0.9922416181767802,103.04406142234802,1m 43.04s,Yes,2024-11-29 05:55:47
"(5, 5)",relu,lbfgs,1000,11,0.9914087759815242,0.9897478525907454,151.54996967315674,2m 31.55s,Yes,2024-11-29 05:58:19
"(10, 5)",relu,lbfgs,1000,11,0.9987066974595843,0.9922416181767802,128.20492434501648,2m 8.20s,Yes,2024-11-29 06:00:28
"(10, 10, 5)",relu,lbfgs,1000,11,0.9995381062355658,0.9933499584372403,361.2345333099365,6m 1.23s,Yes,2024-11-29 06:06:30
(),tanh,lbfgs,1000,11,1.0,0.9842061512884456,102.38365268707275,1m 42.38s,Yes,2024-11-29 06:08:13
"(5,)",tanh,lbfgs,1000,11,0.9884526558891455,0.9855915766140205,418.54871439933777,6m 58.55s,Yes,2024-11-29 06:15:13
"(10,)",tanh,lbfgs,1000,11,0.9967667436489608,0.9900249376558603,978.6334893703461,16m 18.63s,Yes,2024-11-29 06:31:32
"(5, 5)",tanh,lbfgs,1000,11,0.9901154734411085,0.9886395123302854,1052.0816583633423,17m 32.08s,Yes,2024-11-29 06:49:05
"(10, 5)",tanh,lbfgs,1000,11,0.9950115473441109,0.9916874480465503,1217.6000015735626,20m 17.60s,Yes,2024-11-29 07:09:23
"(10, 10, 5)",tanh,lbfgs,1000,11,0.9952886836027713,0.9886395123302854,55412.11399412155,923m 32.11s,Yes,2024-11-29 22:33:01
