Architecture,Solver,Max_Iterations,Activation,Random_State,Train_Accuracy,Test_Accuracy,Converged,Elapsed_Time
(),lbfgs,100,relu,11,,,False,00:00:00
(),lbfgs,500,relu,11,1.0,0.9842061512884456,True,00:00:02
(),lbfgs,100,tanh,11,,,False,00:00:00
(),lbfgs,500,tanh,11,1.0,0.9842061512884456,True,00:00:03
(),adam,100,relu,11,0.9925173210161663,0.9850374064837906,True,00:00:02
(),adam,100,tanh,11,0.9925173210161663,0.9850374064837906,True,00:00:02
"(5,)",lbfgs,100,relu,11,,,False,00:00:02
"(5,)",lbfgs,500,relu,11,,,False,00:00:14
"(5,)",lbfgs,1000,relu,11,0.9916859122401848,0.9908561928512053,True,00:00:19
"(5,)",lbfgs,100,tanh,11,,,False,00:00:03
"(5,)",lbfgs,500,tanh,11,0.9896535796766743,0.9886395123302854,True,00:00:16
"(5,)",adam,100,relu,11,,,False,00:00:03
"(5,)",adam,500,relu,11,0.9956581986143187,0.9889165973954004,True,00:00:05
"(5,)",adam,100,tanh,11,0.9886374133949192,0.9916874480465503,True,00:00:03
"(20,)",lbfgs,100,relu,11,1.0,0.9958437240232751,True,00:00:05
"(20,)",lbfgs,100,tanh,11,,,False,00:00:05
"(20,)",lbfgs,500,tanh,11,,,False,00:00:29
"(20,)",lbfgs,1000,tanh,11,,,False,00:01:23
"(20,)",adam,100,relu,11,0.9993533487297922,0.9914103629814353,True,00:00:03
"(20,)",adam,100,tanh,11,0.9883602771362586,0.9891936824605154,True,00:00:05
"(5, 5)",lbfgs,100,relu,11,0.9875288683602771,0.9891936824605154,True,00:00:02
"(5, 5)",lbfgs,100,tanh,11,,,False,00:00:03
"(5, 5)",lbfgs,500,tanh,11,,,False,00:00:17
"(5, 5)",lbfgs,1000,tanh,11,,,False,00:00:32
"(5, 5)",adam,100,relu,11,,,False,00:00:04
"(5, 5)",adam,500,relu,11,0.9982448036951501,0.9905791077860904,True,00:00:06
"(5, 5)",adam,100,tanh,11,0.982540415704388,0.9833748960931006,True,00:00:03
"(20, 20)",lbfgs,100,relu,11,1.0,0.9944582986977002,True,00:00:02
"(20, 20)",lbfgs,100,tanh,11,,,False,00:00:04
"(20, 20)",lbfgs,500,tanh,11,,,False,00:00:29
"(20, 20)",lbfgs,1000,tanh,11,,,False,00:01:08
"(20, 20)",adam,100,relu,11,0.9998152424942264,0.9903020227209753,True,00:00:03
"(20, 20)",adam,100,tanh,11,0.9919630484988453,0.9894707675256303,True,00:00:07
"(5, 5, 5)",lbfgs,100,relu,11,,,False,00:00:02
"(5, 5, 5)",lbfgs,500,relu,11,0.9983371824480369,0.9894707675256303,True,00:00:02
"(5, 5, 5)",lbfgs,100,tanh,11,,,False,00:00:03
"(5, 5, 5)",lbfgs,500,tanh,11,,,False,00:00:18
"(5, 5, 5)",lbfgs,1000,tanh,11,0.9899307159353349,0.9875311720698254,True,00:00:30
"(5, 5, 5)",adam,100,relu,11,,,False,00:00:04
"(5, 5, 5)",adam,500,relu,11,0.9984295612009237,0.9936270435023552,True,00:00:04
"(5, 5, 5)",adam,100,tanh,11,0.988729792147806,0.9878082571349405,True,00:00:02
"(10, 10, 10)",lbfgs,100,relu,11,,,False,00:00:02
"(10, 10, 10)",lbfgs,500,relu,11,0.9998152424942264,0.9963978941535051,True,00:00:12
"(10, 10, 10)",lbfgs,100,tanh,11,,,False,00:00:05
"(10, 10, 10)",lbfgs,500,tanh,11,,,False,00:00:23
"(10, 10, 10)",lbfgs,1000,tanh,11,,,False,00:00:41
"(10, 10, 10)",adam,100,relu,11,0.9995381062355658,0.9952895538930452,True,00:00:05
"(10, 10, 10)",adam,100,tanh,11,0.9804157043879907,0.9800498753117207,True,00:00:05
"(10, 10, 10, 10)",lbfgs,100,relu,11,,,False,00:00:03
"(10, 10, 10, 10)",lbfgs,500,relu,11,1.0,0.9936270435023552,True,00:00:04
"(10, 10, 10, 10)",lbfgs,100,tanh,11,,,False,00:00:04
"(10, 10, 10, 10)",lbfgs,500,tanh,11,,,False,00:00:25
"(10, 10, 10, 10)",lbfgs,1000,tanh,11,,,False,00:00:53
"(10, 10, 10, 10)",adam,100,relu,11,0.9999076212471132,0.9930728733721252,True,00:00:03
"(10, 10, 10, 10)",adam,100,tanh,11,0.9877136258660508,0.9883624272651704,True,00:00:02
